route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,12,t2BC-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t2C8-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t2D4-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t2E0-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t2EC-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t320-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t32C-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t338-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t344-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t34A-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t350-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t384-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t38A-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t390-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t39C-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t3A2-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t3A8-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t3AE-b1F51-slC,"Cornell - Downtown Loop",1,8017,39646_shp,0,0
10,12,t3B4-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t3BA-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t3E8-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t3EE-b1F51-slC,"Cornell - Downtown Loop",1,8017,39646_shp,0,0
10,12,t3F4-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t3FA-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t400-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t406-b1F51-slC,"Cornell - Downtown Loop",1,8017,39646_shp,0,0
10,12,t40C-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t412-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
10,12,t418-b1F53-slC,"Cornell - Downtown Loop",1,8019,39646_shp,0,0
10,12,t41E-b1F51-slC,"Cornell - Downtown Loop",1,8017,39646_shp,0,0
10,12,t44C-b1F4F-slC,"Cornell - Downtown Loop",1,8015,39646_shp,0,0
10,12,t452-b1F59-slC,"Cornell - Downtown Loop",1,8025,39646_shp,0,0
